
text,department
gaddha ki wajah se accident hua,Road 
road par pani bhar gaya,Road 
road slippery hai,Road 
road block ho gaya hai,Road 
road damage hai,Road 
street road broken hai,Road 
main road kharab hai,Road

Garbage collect nahi ho raha,Sanitation
Kachra jama ho raha hai,Sanitation
Dustbin overflow ho raha hai,Sanitation
Area dirty hai,Sanitation
Safai nahi ho rahi hai,Sanitation
Garbage smell aa rahi hai,Sanitation
Waste collect nahi hua,Sanitation
Street cleaning nahi ho rahi,Sanitation
Kachra road par pada hai,Sanitation
Garbage burning ho raha hai,Sanitation
Public place dirty hai,Sanitation
Sanitation issue hai,Sanitation
Cleaning staff nahi aa rahe,Sanitation
Overflowing bins hai,Sanitation
Waste management issue hai,Sanitation
Dirty surroundings hai,Sanitation
Garbage pile up ho gaya hai,Sanitation
Kachra bahut zyada hai,Sanitation
Area me safai nahi hai,Sanitation
Waste disposal issue hai,Sanitation
kachra pada hai,Sanitation 
garbage collect nahi hua,Sanitation 
dustbin overflow ho raha hai,Sanitation 
area dirty hai,Sanitation 
safai nahi ho rahi hai,Sanitation 
garbage smell aa rahi hai,Sanitation 
waste collect nahi hua,Sanitation 
kachra jama ho gaya hai,Sanitation
 garbage pile up hai,Sanitation 
 dirty surroundings hai,Sanitation

Chori ho gayi hai,Police
Mobile chori ho gaya,Police
Bike theft ho gaya,Police
Ghar me chori hui hai,Police
Robbery ho gayi,Police
Fight ho rahi hai,Police
Ladai ho rahi hai,Police
Accident ho gaya hai,Police
Suspicious log ghoom rahe hain,Police
Illegal activity ho rahi hai,Police
Threat mil raha hai,Police
Call par dhamki mil rahi hai,Police
Crime ho raha hai,Police
Police help chahiye,Police
Emergency hai please help,Police
Unknown log ghar ke bahar hain,Police
Snatching incident hua hai,Police
Pickpocketing hua hai,Police
Violence ho raha hai,Police
Harassment ho raha hai,Police
chori ho gayi hai,Police 
mobile chori ho gaya,Police 
bike theft ho gaya,Police 
ghar me chori hui hai,Police 
robbery ho gayi,Police 
fight ho rahi hai,Police 
ladai ho rahi hai,Police 
accident ho gaya hai,Police 
threat mil raha hai,Police 
illegal activity ho rahi hai,Police 
harassment ho raha hai,Police 
snatching ho gayi,Police

Ambulance chahiye urgent,Health
Medical emergency hai,Health
Patient serious hai,Health
Person unconscious hai,Health
Injury ho gayi hai,Health
Blood chahiye urgent,Health
Doctor chahiye turant,Health
Hospital le jana hai,Health
Health issue serious hai,Health
Emergency treatment chahiye,Health
Heart attack lag raha hai,Health
Breathing problem ho rahi hai,Health
Medical help chahiye,Health
Severe pain ho raha hai,Health
Emergency case hai,Health
Health support required,Health
Injury critical hai,Health
Accident victim ko help chahiye,Health
Ambulance delay ho raha hai,Health
Immediate medical care chahiye,Health

Fire lag gayi hai,Fire
Aag lag gayi building me,Fire
Gas leak ho raha hai,Fire
Cylinder leak ho gaya,Fire
Smoke aa raha hai,Fire
Fire breakout ho gaya,Fire
Short circuit se fire hua,Fire
Kitchen fire ho gaya,Fire
Fire emergency hai,Fire
Burning smell aa rahi hai,Fire
Factory me fire lag gayi,Fire
Shop me aag lag gayi,Fire
Warehouse fire ho gaya,Fire
Electrical fire hai,Fire
Flames dikh rahi hain,Fire
Fire control nahi ho raha,Fire
Dangerous fire situation hai,Fire
Fire brigade bulao,Fire
Gas smell aa rahi hai,Fire
Explosion jaisa lag raha hai,Fire

Drain block ho gaya,Drainage
Sewer overflow ho raha,Drainage
Drain jam hai,Drainage
Waterlogging ho gaya,Drainage
Nali saaf nahi hai,Drainage
Drain smell aa rahi hai,Drainage
Sewage issue hai,Drainage
Drainage system fail hai,Drainage
Rain water jam hai,Drainage
Drain pipe toot gaya,Drainage
Water drain nahi ho raha,Drainage
Nali bhar gayi hai,Drainage
Sewer water road par aa raha hai,Drainage
Drain cleaning nahi hui,Drainage
Blockage in drainage,Drainage
Overflowing drain hai,Drainage
Drain issue serious hai,Drainage
Water clogging ho raha hai,Drainage
Drain repair chahiye,Drainage
Drain problem hai area me,Drainage

Air pollution high hai,Environment
Noise pollution ho raha hai,Environment
Factory smoke aa raha hai,Environment
Water pollution ho raha hai,Environment
Plastic burn ho raha hai,Environment
Pollution control nahi ho raha,Environment
Air quality poor hai,Environment
Dust pollution hai,Environment
Industrial waste aa raha hai,Environment
Environment damage ho raha hai,Environment
Loud music se disturbance hai,Environment
Construction dust problem hai,Environment
Garbage burning pollution hai,Environment
Smoke pollution ho raha hai,Environment
Water contamination hai,Environment
Noise disturbance hai,Environment
Pollution complaint hai,Environment
Air quality bahut kharab hai,Environment
Environmental hazard hai,Environment
Pollution issue serious hai,Environment

Online fraud ho gaya,Cyber Crime
UPI scam hua,Cyber Crime
OTP fraud hua,Cyber Crime
Bank account hack ho gaya,Cyber Crime
Social media hack ho gaya,Cyber Crime
Phishing email aaya,Cyber Crime
Fake website se paisa gaya,Cyber Crime
Cyber attack hua,Cyber Crime
Identity theft ho gaya,Cyber Crime
Digital fraud ho gaya,Cyber Crime
Online scam hua,Cyber Crime
Fraud call aaya,Cyber Crime
Suspicious link mila,Cyber Crime
Account compromise ho gaya,Cyber Crime
Unauthorized transaction hua,Cyber Crime
Credit card fraud hua,Cyber Crime
Net banking hack ho gaya,Cyber Crime
Cyber complaint hai,Cyber Crime
Data breach ho gaya,Cyber Crime
Online cheating ho gayi,Cyber Crime

